월,일,요일,잠실,고척,문학,수원,대전,대구,광주,사직,창원
3,22,토,롯데-LG,,두산-SSG,한화-KT,,키움-삼성,NC-KIA,,
3,23,일,롯데-LG,,두산-SSG,한화-KT,,키움-삼성,NC-KIA,,
3,24,월,,,,,,,,,
3,25,화,한화-LG,,롯데-SSG,두산-KT,,NC-삼성,키움-KIA,,
3,26,수,한화-LG,,롯데-SSG,두산-KT,,NC-삼성,키움-KIA,,
3,27,목,한화-LG,,롯데-SSG,두산-KT,,NC-삼성,키움-KIA,,
3,28,금,삼성-두산,SSG-키움,,,KIA-한화,,,KT-롯데,LG-NC
3,29,토,삼성-두산,SSG-키움,,,KIA-한화,,,KT-롯데,LG-NC
3,30,일,삼성-두산,SSG-키움,,,KIA-한화,,,KT-롯데,LG-NC
3,31,월,,,,,,,,,
4,1,화,키움-두산,,,LG-KT,롯데-한화,,삼성-KIA,,SSG-NC
4,2,수,키움-두산,,,LG-KT,롯데-한화,,삼성-KIA,,SSG-NC
4,3,목,키움-두산,,,LG-KT,롯데-한화,,삼성-KIA,,SSG-NC
4,4,금,KIA-LG,NC-키움,KT-SSG,,,한화-삼성,,두산-롯데,
4,5,토,KIA-LG,NC-키움,KT-SSG,,,한화-삼성,,두산-롯데,
4,6,일,KIA-LG,NC-키움,KT-SSG,,,한화-삼성,,두산-롯데,
4,7,월,,,,,,,,,
4,8,화,한화-두산,LG-키움,,NC-KT,,SSG-삼성,,KIA-롯데,
4,9,수,한화-두산,LG-키움,,NC-KT,,SSG-삼성,,KIA-롯데,
4,10,목,한화-두산,LG-키움,,NC-KT,,SSG-삼성,,KIA-롯데,
4,11,금,두산-LG,,,삼성-KT,키움-한화,,SSG-KIA,,롯데-NC
4,12,토,두산-LG,,,삼성-KT,키움-한화,,SSG-KIA,,롯데-NC
4,13,일,두산-LG,,,삼성-KT,키움-한화,,SSG-KIA,,롯데-NC
4,14,월,,,,,,,,,
4,15,화,삼성-LG,,한화-SSG,,,,KT-KIA,키움-롯데,두산-NC
4,16,수,삼성-LG,,한화-SSG,,,,KT-KIA,키움-롯데,두산-NC
4,17,목,삼성-LG,,한화-SSG,,,,KT-KIA,키움-롯데,두산-NC
4,18,금,KIA-두산,KT-키움,LG-SSG,,NC-한화,롯데-삼성,,,
4,19,토,KIA-두산,KT-키움,LG-SSG,,NC-한화,롯데-삼성,,,
4,20,일,KIA-두산,KT-키움,LG-SSG,,NC-한화,롯데-삼성,,,
4,21,월,,,,,,,,,
4,22,화,NC-LG,두산-키움,,SSG-KT,,KIA-삼성,,한화-롯데,
4,23,수,NC-LG,두산-키움,,SSG-KT,,KIA-삼성,,한화-롯데,
4,24,목,NC-LG,두산-키움,,SSG-KT,,KIA-삼성,,한화-롯데,
4,25,금,롯데-두산,,키움-SSG,,KT-한화,,LG-KIA,,삼성-NC
4,26,토,롯데-두산,,키움-SSG,,KT-한화,,LG-KIA,,삼성-NC
